Time,data
1652390125.200603,s20000.0
1652390125.2963338,s20000.0
1652390125.3949473,s20000.0
1652390125.4955804,s20000.0
1652390125.5837405,s20000.0
1652390125.6809742,s20000.0
1652390125.7706583,s20000.0
1652390125.9001424,s20000.0
1652390125.9577675,s20000.0
1652390126.1039388,s20000.0
1652390126.1648479,s20000.0
1652390126.258083,s20000.0
1652390126.351846,s20000.0
1652390126.4398255,s20000.0
1652390126.537605,s20000.0
1652390126.6370544,s20000.0
1652390126.73535,s20000.0
1652390126.823056,s20000.0
1652390126.9220693,s20000.0
1652390127.0094175,s20000.0
1652390127.1080303,s20000.0
1652390127.1986792,s20000.0
1652390127.3325565,s20000.0
1652390127.4044385,s20000.0
1652390127.4926462,s20000.0
1652390127.5894659,s20000.0
1652390127.6786463,s20000.0
1652390127.780074,s20000.0
1652390127.867859,s20000.0
1652390127.974793,s20000.0
1652390128.074871,s20000.0
1652390128.1627855,s20000.0
1652390128.2621276,s20000.0
1652390128.3511095,s20000.0
1652390128.4487267,s20000.0
1652390128.5364635,s20000.0
1652390128.635478,s20000.0
1652390128.7439356,s20000.0
1652390128.8473134,s20000.0
1652390128.9315484,s20000.0
1652390129.028074,s20000.0
1652390129.1159549,s20000.0
1652390129.2155528,s20000.0
1652390129.3042746,s20000.0
1652390129.4020536,s20000.0
1652390129.5871294,s20000.0
1652390129.6299255,s20000.0
1652390129.6972032,s20000.0
1652390129.7891831,s20000.0
1652390129.8836875,s20000.0
1652390129.9723313,s20000.0
1652390130.0701616,s20000.0
1652390130.158174,s20000.0
1652390130.40515,s20000.0
1652390130.457857,s20000.0
1652390130.5482798,s20000.0
1652390130.648204,s20000.0
1652390130.736799,s20000.0
1652390130.8351119,s20000.0
1652390131.0207446,s20000.0
1652390131.0327282,s20000.0
1652390131.1312807,s20000.0
1652390131.2177882,s20000.0
1652390131.3169682,s20000.0
1652390131.4040234,s20000.0
1652390131.516692,s20000.0
1652390131.610345,s20000.0
1652390131.7019308,s20000.0
1652390131.7994037,s20000.0
1652390131.8856814,s20000.0
1652390131.9839947,s20000.0
1652390132.072147,s20000.0
1652390132.171662,s20000.0
1652390132.2788088,s20000.0
1652390132.367305,s20000.0
1652390132.4660583,s20000.0
1652390132.553429,s20000.0
1652390132.6563275,s20000.0
1652390132.7411323,s20000.0
1652390132.848918,s20000.0
1652390132.945809,s20000.0
1652390133.03514,s20000.0
1652390133.133039,s20000.0
1652390133.2192147,s20000.0
1652390133.3204017,s20000.0
1652390133.4275255,s20000.0
1652390133.517954,s20000.0
1652390133.61463,s20000.0
1652390133.7125075,s20000.0
1652390133.8007042,s20000.0
1652390133.9020321,s20000.0
1652390133.9903016,s20000.0
1652390134.089726,s20000.0
1652390134.1748493,s20000.0
1652390134.2747285,s20000.0
1652390134.382962,s20000.0
1652390134.4725225,s20000.0
1652390134.569309,s20000.0
1652390134.6595798,s20000.0
1652390134.755795,s20000.0
1652390134.845669,s20000.0
1652390134.94406,s20000.0
1652390135.1147382,s20000.0
1652390135.1631258,s20000.0
1652390135.238507,s20000.0
1652390135.329399,s20000.0
1652390135.4260921,s20000.0
1652390135.5367384,s20000.0
1652390135.6240466,s20000.0
1652390135.7102983,s20000.0
1652390135.8083267,s20000.0
1652390135.897165,s20000.0
1652390135.9992325,s20000.0
1652390136.1403947,s20000.0
1652390136.193121,s20000.0
1652390136.2891,s20000.0
1652390136.3788095,s20000.0
1652390136.47734,s20000.0
1652390136.5645585,s20000.0
1652390136.675385,s20000.0
1652390136.7742333,s20000.0
1652390136.8608608,s20000.0
1652390136.959506,s20000.0
1652390137.048734,s20000.0
1652390137.1460595,s20000.0
1652390137.2347977,s20000.0
1652390137.3681052,s20000.0
1652390137.4321795,s20000.0
1652390137.5303314,s20000.0
1652390137.618104,s20000.0
1652390137.716736,s20000.0
1652390137.8060458,s20000.0
1652390137.9046092,s20000.0
1652390138.0125515,s20000.0
1652390138.0994654,s20000.0
1652390138.2003171,s20000.0
1652390138.288948,s20000.0
1652390138.385726,s20000.0
1652390138.4747026,s20000.0
1652390138.57318,s20000.0
1652390138.7003515,s20000.0
1652390138.7706044,s20000.0
1652390138.86859,s20000.0
1652390138.9576697,s20000.0
1652390139.1075957,s20000.0
1652390139.1522229,s20000.0
1652390139.2422733,s20000.0
1652390139.3535354,s20000.0
1652390139.442035,s20000.0
1652390139.5366137,s20000.0
1652390139.6284542,s20000.0
1652390139.7281668,s20000.0
1652390139.8134093,s20000.0
1652390139.913146,s20000.0
1652390140.001506,s20000.0
1652390140.1314816,s20000.0
1652390140.2084053,s20000.0
1652390140.2961504,s20000.0
1652390140.395146,s20000.0
1652390140.482901,s20000.0
1652390140.5719168,s20000.0
1652390140.7455344,s20000.0
1652390140.791947,s20000.0
1652390140.8695114,s20000.0
1652390140.9723918,s20000.0
1652390141.0587862,s20000.0
1652390141.1555927,s20000.0
1652390141.2450924,s20000.0
1652390141.3556304,s20000.0
1652390141.4531736,s20000.0
1652390141.5460012,s20000.0
1652390141.640062,s20000.0
1652390141.7269921,s20000.0
1652390141.814426,s20000.0
1652390141.9128473,s20000.0
1652390142.077554,s20000.0
1652390142.1199358,s20000.0
1652390142.207223,s20000.0
1652390142.3054607,s20000.0
1652390142.394953,s20000.0
1652390142.492638,s20000.0
1652390142.6912732,s20000.0
1652390142.7572021,s20000.0
1652390142.8002753,s20000.0
1652390142.8771863,s20000.0
1652390142.9644852,s20000.0
1652390143.0592082,s20000.0
1652390143.203934,s20000.0
1652390143.2690847,s20000.0
1652390143.3570752,s20000.0
1652390143.444748,s20000.0
1652390143.5459676,s20000.0
1652390143.6415882,s20000.0
1652390143.7312474,s20000.0
1652390143.829222,s20000.0
1652390143.9199302,s20000.0
1652390144.0357006,s20000.0
1652390144.1250565,s20000.0
1652390144.2113793,s20000.0
1652390144.3295639,s20000.0
1652390144.400146,s20000.0
1652390144.507345,s20000.0
1652390144.6059334,s20000.0
1652390144.6943707,s20000.0
1652390144.7833197,s20000.0
1652390144.8832958,s20000.0
1652390144.9702241,s20000.0
1652390145.0689702,s20000.0
1652390145.1561003,s20000.0
1652390145.3547094,s20000.0
1652390145.3991303,s20000.0
1652390145.4684627,s20000.0
1652390145.5520132,s20000.0
1652390145.6407442,s20000.0
1652390145.7427201,s20000.0
1652390145.865409,s20000.0
1652390145.936172,s20000.0
1652390146.0351071,s20000.0
1652390146.1223512,s20000.0
1652390146.22271,s20000.0
1652390146.3100703,s20000.0
1652390146.4091012,s20000.0
1652390146.4974954,s20000.0
1652390146.6058712,s20000.0
1652390146.7058094,s20000.0
1652390146.7928555,s20000.0
1652390146.892203,s20000.0
1652390146.981325,s20000.0
1652390147.0782053,s20000.0
1652390147.1884985,s20000.0
1652390147.2765472,s20000.0
1652390147.3767996,s20000.0
1652390147.462185,s20000.0
1652390147.561215,s20000.0
1652390147.654808,s20000.0
1652390147.7481518,s20000.0
1652390147.8360574,s20000.0
1652390147.9344857,s20000.0
1652390148.0443628,s20000.0
1652390148.1342704,s20000.0
1652390148.2303889,s20000.0
1652390148.3176901,s20000.0
1652390148.4158819,s20000.0
1652390148.5043256,s20000.0
1652390148.602891,s20000.0
1652390148.7330837,s20000.0
1652390148.8087993,s20000.0
1652390148.8982987,s20000.0
1652390148.9978263,s20000.0
1652390149.0865128,s20000.0
1652390149.177096,s20000.0
1652390149.2728956,s20000.0
1652390149.4521625,s20000.0
1652390149.494305,s20000.0
1652390149.567587,s20000.0
1652390149.6555524,s20000.0
1652390149.7577813,s20000.0
1652390149.8535411,s20000.0
1652390150.0642977,s20000.0
1652390150.069392,s20000.0
1652390150.137616,s20000.0
1652390150.2386198,s20000.0
1652390150.3262904,s20000.0
1652390150.423898,s20000.0
1652390150.5784888,s20000.0
1652390150.621396,s20000.0
1652390150.7220128,s20000.0
1652390150.8091264,s20000.0
1652390150.9085002,s20000.0
1652390150.9966295,s20000.0
1652390151.084779,s20000.0
1652390151.2926316,s20000.0
1652390151.295146,s20000.0
1652390151.3784676,s20000.0
1652390151.4762583,s20000.0
1652390151.5659983,s20000.0
1652390151.701385,s20000.0
1652390151.7711005,s20000.0
1652390151.8620481,s20000.0
1652390151.9614196,s20000.0
1652390152.0503397,s20000.0
1652390152.1482124,s20000.0
1652390152.2357037,s20000.0
1652390152.3351464,s20000.0
1652390152.4244075,s20000.0
1652390152.5211058,s20000.0
1652390152.6245213,s20000.0
1652390152.7288744,s20000.0
1652390152.8184235,s20000.0
1652390152.9153075,s20000.0
1652390153.0041788,s20000.0
1652390153.0935302,s20000.0
1652390153.1927922,s20000.0
1652390153.4457438,s20000.0
1652390153.4911594,s20000.0
1652390153.5813785,s20000.0
1652390153.6793017,s20000.0
1652390153.7686868,s20000.0
1652390153.8676636,s20000.0
1652390153.9561806,s20000.0
1652390154.1649709,s20000.0
1652390154.170204,s20000.0
1652390154.2489567,s20000.0
1652390154.3494103,s20000.0
1652390154.4371045,s20000.0
1652390154.5354285,s20000.0
1652390154.623554,s20000.0
1652390154.7224014,s20000.0
1652390154.8106067,s20000.0
1652390154.9205823,s20000.0
1652390155.0212255,s20000.0
1652390155.1090856,s20000.0
